Date,Open,High,Close,Low,Volume
1995-11-03,994.2,1000.91,1000.0,992.69,0.0
1995-11-06,1001.53,1001.53,988.92,988.92,0.0
1995-11-07,987.17,987.17,978.22,977.05,0.0
1995-11-08,976.28,976.28,964.01,962.98,0.0
1995-11-09,960.32,960.32,953.07,952.13,0.0
1995-11-10,951.93,951.93,948.82,946.0,0.0
1995-11-13,949.29,949.29,917.26,916.48,0.0
1995-11-14,916.66,916.66,902.56,897.52,0.0
1995-11-15,901.33,913.54,913.21,901.33,0.0
1995-11-16,915.96,915.96,904.08,900.83,0.0
1995-11-17,898.72,900.41,898.86,885.31,0.0
1995-11-20,896.27,898.86,892.79,892.05,0.0
1995-11-21,891.96,891.96,876.59,876.0,0.0
1995-11-22,878.0,878.0,864.42,856.92,0.0
1995-11-23,856.2,856.2,849.5,842.33,0.0
1995-11-24,849.6,874.97,871.11,849.6,0.0
1995-11-27,871.94,878.58,861.25,858.93,0.0
1995-11-28,854.5,854.5,843.68,841.44,0.0
1995-11-29,845.36,845.36,845.12,822.54,0.0
1995-11-30,840.87,863.98,862.1,838.36,0.0
1995-12-01,867.99,877.41,873.05,866.37,0.0
1995-12-04,870.29,873.05,863.7,861.97,0.0
1995-12-05,860.02,867.59,866.52,854.47,0.0
1995-12-06,870.39,878.93,878.93,868.12,0.0
1995-12-07,881.97,901.25,898.62,881.97,0.0
1995-12-08,900.28,908.12,887.12,886.54,0.0
1995-12-11,882.58,882.58,877.41,874.37,0.0
1995-12-12,878.99,880.08,879.49,875.43,0.0
1995-12-13,881.3,889.26,889.26,881.3,0.0
1995-12-14,890.81,891.98,884.34,884.31,0.0
1995-12-15,876.95,883.85,883.41,875.5,0.0
1995-12-18,883.29,883.58,882.63,881.17,0.0
1995-12-19,882.35,884.19,883.72,879.54,0.0
1995-12-20,883.68,887.19,885.53,883.68,0.0
1995-12-21,888.25,900.5,900.5,887.73,0.0
1995-12-22,900.86,906.63,900.65,899.38,0.0
1995-12-26,899.87,906.47,905.33,898.41,0.0
1995-12-27,908.81,923.09,922.5,908.81,0.0
1995-12-28,923.67,927.6,914.55,913.76,0.0
1995-12-29,912.72,912.72,908.53,906.32,0.0
1996-01-01,913.11,913.11,908.01,906.15,0.0
1996-01-02,906.78,906.78,900.38,899.52,0.0
1996-01-03,901.66,904.48,895.96,895.48,0.0
1996-01-04,891.37,891.37,889.67,884.1,0.0
1996-01-05,887.79,887.79,884.73,881.74,0.0
1996-01-08,883.64,883.64,869.7,868.44,0.0
1996-01-09,864.84,870.71,869.12,856.77,0.0
1996-01-10,863.86,869.01,863.8,863.8,0.0
1996-01-11,862.62,873.72,873.27,861.97,0.0
1996-01-12,875.11,877.6,875.15,872.1,0.0
1996-01-15,878.74,878.74,871.32,870.98,0.0
1996-01-16,871.29,871.29,868.52,866.64,0.0
1996-01-17,866.0,866.0,857.11,857.11,0.0
1996-01-18,853.28,853.28,848.83,841.79,0.0
1996-01-19,846.66,847.17,843.99,840.18,0.0
1996-01-22,844.83,847.12,844.31,844.04,0.0
1996-01-23,846.05,846.05,832.9,830.83,0.0
1996-01-24,831.17,831.17,818.69,816.0,0.0
1996-01-25,819.56,819.56,814.92,814.34,0.0
1996-01-29,813.12,832.23,830.88,813.12,0.0
1996-01-30,836.14,848.13,846.57,836.14,0.0
1996-01-31,843.19,852.75,848.42,843.19,0.0
1996-02-01,848.28,869.54,869.54,848.28,0.0
1996-02-02,878.5,919.82,918.31,878.5,0.0
1996-02-05,933.14,949.16,943.08,927.65,0.0
1996-02-06,943.75,947.89,925.71,919.99,0.0
1996-02-07,918.97,932.02,932.02,913.22,0.0
1996-02-08,936.72,983.25,980.27,936.72,0.0
1996-02-09,1001.85,1033.02,1033.02,980.27,0.0
1996-02-12,1032.47,1045.81,1018.51,1018.51,0.0
1996-02-13,1019.69,1030.3,1027.36,1006.28,0.0
1996-02-14,1040.91,1067.49,1051.99,1040.91,0.0
1996-02-15,1048.14,1053.19,1046.24,1042.36,0.0
1996-02-16,1040.84,1040.84,1023.08,1020.46,0.0
1996-02-19,1027.2,1028.26,1021.38,1019.93,0.0
1996-02-20,1021.08,1021.08,1000.13,999.93,0.0
1996-02-22,1006.84,1025.44,1024.91,1006.84,0.0
1996-02-23,1025.36,1029.64,1028.84,1019.45,0.0
1996-02-26,1035.02,1045.15,1034.73,1034.52,0.0
1996-02-27,1034.28,1034.28,1027.45,1024.65,0.0
1996-02-28,1034.49,1037.53,1027.39,1027.39,0.0
1996-02-29,1024.14,1024.14,992.51,992.48,0.0
1996-03-01,994.66,1002.19,999.47,989.78,0.0
1996-03-04,1000.58,1002.41,998.84,996.51,0.0
1996-03-06,999.67,1003.72,1002.91,997.86,0.0
1996-03-07,1005.06,1010.5,998.45,998.45,0.0
1996-03-08,993.93,993.93,988.62,981.6,0.0
1996-03-11,981.16,981.16,975.26,966.28,0.0
1996-03-12,974.71,976.46,976.22,969.15,0.0
1996-03-13,973.75,992.54,992.14,972.77,0.0
1996-03-14,993.72,1002.68,991.14,990.41,0.0
1996-03-15,989.55,989.98,981.87,981.67,0.0
1996-03-18,977.71,977.71,962.09,961.37,0.0
1996-03-19,961.12,964.08,947.09,945.07,0.0
1996-03-21,957.88,967.75,965.57,957.88,0.0
1996-03-22,962.34,962.34,956.11,950.07,0.0
1996-03-25,956.89,957.19,953.98,952.25,0.0
1996-03-26,952.87,958.58,957.14,949.28,0.0
1996-03-27,965.84,975.6,974.17,965.84,0.0
1996-03-28,976.91,997.32,997.32,976.91,0.0
1996-03-29,998.16,998.16,985.3,985.3,0.0
1996-04-01,988.33,995.01,994.8,988.33,0.0
1996-04-02,996.07,1005.68,1003.28,996.07,0.0
1996-04-03,1013.41,1019.09,1013.47,1012.79,0.0
1996-04-04,1012.29,1012.29,1010.94,1000.9,0.0
1996-04-08,1024.4,1034.72,1032.13,1024.4,0.0
1996-04-09,1035.61,1041.05,1029.07,1028.78,0.0
1996-04-10,1030.57,1035.79,1029.28,1027.07,0.0
1996-04-11,1024.37,1026.52,1025.18,1022.31,0.0
1996-04-12,1023.84,1033.17,1032.19,1023.84,0.0
1996-04-15,1038.03,1050.48,1046.45,1038.03,0.0
1996-04-16,1046.8,1060.85,1058.71,1046.8,0.0
1996-04-17,1067.93,1096.28,1096.28,1067.93,0.0
1996-04-18,1107.76,1124.93,1121.68,1107.76,0.0
1996-04-19,1124.3,1142.26,1131.74,1124.3,0.0
1996-04-22,1136.28,1136.28,1106.93,1102.83,0.0
1996-04-23,1090.04,1100.51,1095.82,1090.04,0.0
1996-04-24,1136.97,1145.11,1145.11,1126.77,0.0
1996-04-25,1157.94,1160.16,1120.82,1110.61,0.0
1996-04-26,1133.17,1133.17,1123.63,1106.29,0.0
1996-04-29,1112.7,1118.69,1118.37,1107.51,0.0
1996-04-30,1118.1,1118.23,1114.36,1112.44,0.0
1996-05-01,1141.65,1141.65,1137.86,1133.92,0.0
1996-05-02,1131.96,1132.05,1132.05,1123.15,0.0
1996-05-03,1126.08,1127.99,1119.48,1119.34,0.0
1996-05-06,1108.0,1108.0,1088.22,1087.86,0.0
1996-05-07,1086.66,1094.97,1093.09,1086.66,0.0
1996-05-08,1082.78,1113.62,1108.53,1075.94,0.0
1996-05-09,1101.41,1107.41,1090.53,1089.87,0.0
1996-05-10,1076.97,1080.91,1078.63,1063.75,0.0
1996-05-13,1081.68,1090.16,1088.1,1080.68,0.0
1996-05-14,1087.94,1107.44,1105.47,1085.85,0.0
1996-05-15,1107.0,1117.41,1115.97,1095.67,0.0
1996-05-16,1128.45,1141.64,1128.59,1126.29,0.0
1996-05-17,1122.42,1122.42,1115.54,1113.59,0.0
1996-05-20,1094.6,1094.6,1083.67,1083.56,0.0
1996-05-21,1077.18,1082.52,1074.86,1074.19,0.0
1996-05-22,1082.25,1086.07,1081.13,1079.61,0.0
1996-05-23,1079.89,1079.89,1076.71,1073.76,0.0
1996-05-24,1079.77,1087.77,1085.03,1077.87,0.0
1996-05-27,1080.55,1080.55,1065.29,1065.29,0.0
1996-05-28,1054.62,1065.61,1063.36,1046.95,0.0
1996-05-29,1074.23,1100.59,1096.76,1074.23,0.0
1996-05-30,1095.86,1095.86,1082.84,1082.58,0.0
1996-05-31,1086.46,1089.92,1089.92,1083.73,0.0
1996-06-03,1098.18,1109.99,1108.87,1098.18,0.0
1996-06-04,1114.55,1118.13,1105.64,1104.32,0.0
1996-06-05,1108.78,1115.06,1113.14,1104.45,0.0
1996-06-06,1129.17,1132.62,1129.82,1127.52,0.0
1996-06-07,1126.39,1134.86,1133.44,1126.39,0.0
1996-06-10,1136.86,1144.15,1141.35,1136.86,0.0
1996-06-11,1137.74,1145.68,1143.06,1136.77,0.0
1996-06-12,1164.83,1171.01,1163.87,1163.58,0.0
1996-06-13,1166.37,1172.34,1168.4,1164.66,0.0
1996-06-14,1169.26,1198.35,1196.06,1169.26,0.0
1996-06-17,1202.58,1203.11,1185.37,1184.36,0.0
1996-06-18,1176.48,1184.18,1181.95,1173.66,0.0
1996-06-19,1180.78,1190.03,1168.03,1163.46,0.0
1996-06-20,1163.68,1170.54,1169.48,1150.4,0.0
1996-06-21,1168.72,1170.01,1157.42,1155.56,0.0
1996-06-24,1157.92,1159.92,1146.78,1138.88,0.0
1996-06-25,1147.28,1154.22,1127.78,1123.79,0.0
1996-06-26,1127.43,1134.43,1119.85,1116.96,0.0
1996-06-27,1119.0,1130.0,1127.0,1107.0,0.0
1996-06-28,1128.0,1136.0,1122.0,1119.0,0.0
1996-07-01,1121.0,1121.0,1109.0,1105.0,0.0
1996-07-02,1109.0,1111.0,1100.0,1098.0,0.0
1996-07-03,1100.0,1100.0,1080.0,1076.0,0.0
1996-07-04,1080.0,1099.0,1088.0,1056.0,0.0
